latitude,longitude,predicted_risk
-28.2119,-54.6042,0.9993043
-28.2119,-54.6042,0.9993043
-28.2119,-54.6042,0.9993043
-28.1814,-54.7383,0.9995459
-28.1814,-54.7383,0.9995459
-28.1814,-54.7383,0.9995459
-28.1814,-54.7383,0.9995459
-28.1814,-54.7383,0.9995459
-28.6569,-54.4589,0.99940455
-28.6569,-54.4589,0.99940455
-28.6569,-54.4589,0.99940455
-28.6569,-54.4589,0.99940455
-28.6569,-54.4589,0.99940455
-28.6569,-54.4589,0.99940455
-28.5792,-54.915,0.97264445
-28.5792,-54.915,0.97264445
-28.5792,-54.915,0.97264445
-28.5792,-54.915,0.97264445
-28.5792,-54.915,0.97264445
-28.2119,-55.3197,0.99930453
-28.2119,-55.3197,0.99930453
-28.2119,-55.3197,0.99930453
-28.2119,-55.3197,0.99930453
-28.2119,-55.3197,0.99930453
-28.2119,-55.3197,0.99930453
-28.2119,-55.3197,0.99930453
-28.6828,-55.5794,0.99947065
-28.6828,-55.5794,0.99947065
-28.6828,-55.5794,0.99947065
-28.6828,-55.5794,0.99947065
-29.5561,-54.3422,0.99873394
-29.5561,-54.3422,0.99873394
-29.5561,-54.3422,0.99873394
-29.5561,-54.3422,0.99873394
-29.5561,-54.3422,0.99873394
-29.5561,-54.3422,0.99873394
-29.5561,-54.3422,0.99873394
-29.6653,-54.4714,0.77745825
-29.6653,-54.4714,0.77745825
-30.2808,-54.9031,0.99968874
-30.2808,-54.9031,0.99968874
-30.2808,-54.9031,0.99968874
-30.2808,-54.9031,0.99968874
-29.3094,-55.7058,0.9854187
-29.3094,-55.7058,0.9854187
-29.3094,-55.7058,0.9854187
-29.3094,-55.7058,0.9854187
-29.3094,-55.7058,0.9854187
-29.3094,-55.7058,0.9854187
-29.7686,-55.7872,0.9993123
-29.7686,-55.7872,0.9993123
-29.7686,-55.7872,0.9993123
-29.7686,-55.7872,0.9993123
-29.7686,-55.7872,0.9993123
-29.7686,-55.7872,0.9993123
-29.7686,-55.7872,0.9993123
-30.3847,-56.4656,0.99853003
-30.3847,-56.4656,0.99853003
-30.3847,-56.4656,0.99853003
-24.9028,-49.4417,0.99354583
-24.9028,-49.4417,0.99354583
-24.9028,-49.4417,0.99354583
-24.7964,-49.2725,0.99943477
-24.7964,-49.2725,0.99943477
-24.7964,-49.2725,0.99943477
-24.7964,-49.2725,0.99943477
-24.7964,-49.2725,0.99943477
-24.7964,-49.2725,0.99943477
-24.7964,-49.2725,0.99943477
-24.7964,-49.2725,0.99943477
-25.5136,-48.8842,0.9928341
-25.5136,-48.8842,0.9928341
-25.5136,-48.8842,0.9928341
-27.0539,-49.5167,0.99899715
-27.0539,-49.5167,0.99899715
-27.0539,-49.5167,0.99899715
-27.0539,-49.5167,0.99899715
-27.0539,-49.5167,0.99899715
-27.0539,-49.5167,0.99899715
-27.0539,-49.5167,0.99899715
-27.0539,-49.5167,0.99899715
-28.3258,-49.1792,0.9739629
-28.3258,-49.1792,0.9739629
-29.9258,-53.4167,0.9995788
-29.9258,-53.4167,0.9995788
-29.9258,-53.4167,0.9995788
-29.9258,-53.4167,0.9995788
-29.9258,-53.4167,0.9995788
-28.8056,-50.495,0.987823
-28.8056,-50.495,0.987823
-28.8056,-50.495,0.987823
-28.8056,-50.495,0.987823
-28.8056,-50.495,0.987823
-28.8056,-50.495,0.987823
-28.8667,-51.1167,0.99485
-28.8667,-51.1167,0.99485
-28.7392,-51.425,0.9993718
-28.7392,-51.425,0.9993718
-28.7392,-51.425,0.9993718
-28.7392,-51.425,0.9993718
-28.7392,-51.425,0.9993718
-28.7392,-51.425,0.9993718
-28.8675,-51.4456,0.998552
-28.8675,-51.4456,0.998552
-28.8675,-51.4456,0.998552
-28.8675,-51.4456,0.998552
-28.8675,-51.4456,0.998552
-28.8675,-51.4456,0.998552
-28.8675,-51.4456,0.998552
-28.8489,-51.8325,0.99907994
